,query,latitude,longitude,block,street_name,building,postal,service_year
0,JURONG EAST MRT STATION NS1,1.33315281585758,103.742286332403,10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),609690,1990
1,BUKIT BATOK MRT STATION NS2,1.34903331201636,103.749566478309,10,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),659958,1990
2,BUKIT GOMBAK MRT STATION NS3,1.35861159094192,103.751790910733,802,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),659083,1990
3,CHOA CHU KANG MRT STATION NS4,1.38536316540225,103.744370779756,10,CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION (NS4),689810,1990
4,YEW TEE MRT STATION NS5,1.39753506936297,103.747405150236,61,CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),689715,1996
5,KRANJI MRT STATION NS7,1.42508698073648,103.762137459497,960,WOODLANDS ROAD,KRANJI MRT STATION (NS7),738702,1996
6,MARSILING MRT STATION NS8,1.43252114855026,103.774074641403,71,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),739044,1996
7,WOODLANDS MRT STATION NS9,1.43681962961519,103.786066799253,30,WOODLANDS AVENUE 2,WOODLANDS MRT STATION (NS9),738343,1996
8,ADMIRALTY MRT STATION NS10,1.44058856161847,103.800990519771,70,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),738344,1996
9,SEMBAWANG MRT STATION NS11,1.44905082158502,103.820046140211,11,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),759775,1996
10,CANBERRA MRT STATION NS12,1.44307664075699,103.829702590959,11,CANBERRA LINK,CANBERRA MRT STATION (NS12),756972,2019
11,YISHUN MRT STATION NS13,1.42944308477331,103.835005047246,301,YISHUN AVENUE 2,YISHUN MRT STATION (NS13),769093,1988
12,KHATIB MRT STATION NS14,1.41738337009565,103.832979908243,201,YISHUN AVENUE 2,KHATIB MRT STATION (NS14),769092,1988
13,YIO CHU KANG MRT STATION NS15,1.38175587099132,103.84494727118,3000,ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION (NS15),569813,1987
